title,address,bed,bath,toilet,pkn_space,price
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,85000000
5 bedroom detached duplex for sale,Lekki,5,6,7,5.0,100000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,4.0,65000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,270000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom terraced duplex for sale,Ikeja,5,5,6,,65000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,2.0,73000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,85000000
5 bedroom detached duplex for sale,Lekki,5,6,7,5.0,100000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,4.0,65000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,270000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom terraced duplex for sale,Ikeja,5,5,6,,65000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,2.0,73000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,85000000
5 bedroom detached duplex for sale,Lekki,5,6,7,5.0,100000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,4.0,65000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,270000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom terraced duplex for sale,Ikeja,5,5,6,,65000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,2.0,73000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,85000000
5 bedroom detached duplex for sale,Lekki,5,6,7,5.0,100000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,4.0,65000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,270000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom terraced duplex for sale,Ikeja,5,5,6,,65000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,2.0,73000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,3.0,85000000
5 bedroom detached duplex for sale,Lekki,5,6,7,5.0,100000000
4 bedroom semi-detached duplex for sale,Lekki,4,5,6,4.0,65000000
5 bedroom detached duplex for sale,Lekki,5,5,6,4.0,270000000
5 bedroom semi-detached duplex for sale,Ajah,5,6,6,6.0,32990000
3 bedroom semi-detached duplex for sale,Ajah,3,3,4,3.0,46000000
3 bedroom block of flats for sale,Ikoyi,3,4,4,3.0,200000000
3 bedroom block of flats for sale,Lekki,3,3,3,,40000000
5 bedroom detached duplex for sale,Ikorodu,5,5,5,6.0,13000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,,55000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,6.0,1400000000
5 bedroom semi-detached duplex for sale,Ajah,5,6,6,6.0,32990000
3 bedroom semi-detached duplex for sale,Ajah,3,3,4,3.0,46000000
3 bedroom block of flats for sale,Ikoyi,3,4,4,3.0,200000000
3 bedroom block of flats for sale,Lekki,3,3,3,,40000000
5 bedroom detached duplex for sale,Ikorodu,5,5,5,6.0,13000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,,55000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,6.0,1400000000
5 bedroom semi-detached duplex for sale,Ajah,5,6,6,6.0,32990000
3 bedroom semi-detached duplex for sale,Ajah,3,3,4,3.0,46000000
3 bedroom block of flats for sale,Ikoyi,3,4,4,3.0,200000000
3 bedroom block of flats for sale,Lekki,3,3,3,,40000000
5 bedroom detached duplex for sale,Ikorodu,5,5,5,6.0,13000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,,55000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,6.0,1400000000
5 bedroom semi-detached duplex for sale,Ajah,5,6,6,6.0,32990000
3 bedroom semi-detached duplex for sale,Ajah,3,3,4,3.0,46000000
3 bedroom block of flats for sale,Ikoyi,3,4,4,3.0,200000000
3 bedroom block of flats for sale,Lekki,3,3,3,,40000000
5 bedroom detached duplex for sale,Ikorodu,5,5,5,6.0,13000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,,55000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,6.0,1400000000
5 bedroom semi-detached duplex for sale,Ajah,5,6,6,6.0,32990000
3 bedroom semi-detached duplex for sale,Ajah,3,3,4,3.0,46000000
3 bedroom block of flats for sale,Ikoyi,3,4,4,3.0,200000000
3 bedroom block of flats for sale,Lekki,3,3,3,,40000000
5 bedroom detached duplex for sale,Ikorodu,5,5,5,6.0,13000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,,55000000
6 bedroom detached duplex for sale,Ikoyi,6,6,7,6.0,1400000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,32500000
3 bedroom semi-detached duplex for sale,Lekki,3,3,4,,36000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,90000000
2 bedroom block of flats for sale,Lekki,2,2,3,,30000000
3 bedroom semi-detached bungalow for sale,Ibeju Lekki,3,3,3,,13000000
2 bedroom semi-detached bungalow for sale,Ibeju Lekki,2,2,2,,11000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,32500000
3 bedroom semi-detached duplex for sale,Lekki,3,3,4,,36000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,90000000
2 bedroom block of flats for sale,Lekki,2,2,3,,30000000
3 bedroom semi-detached bungalow for sale,Ibeju Lekki,3,3,3,,13000000
2 bedroom semi-detached bungalow for sale,Ibeju Lekki,2,2,2,,11000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,32500000
3 bedroom semi-detached duplex for sale,Lekki,3,3,4,,36000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,90000000
2 bedroom block of flats for sale,Lekki,2,2,3,,30000000
3 bedroom semi-detached bungalow for sale,Ibeju Lekki,3,3,3,,13000000
2 bedroom semi-detached bungalow for sale,Ibeju Lekki,2,2,2,,11000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,32500000
3 bedroom semi-detached duplex for sale,Lekki,3,3,4,,36000000
4 bedroom terraced duplex for sale,Lekki,4,4,4,,90000000
2 bedroom block of flats for sale,Lekki,2,2,3,,30000000
3 bedroom semi-detached bungalow for sale,Ibeju Lekki,3,3,3,,13000000
2 bedroom semi-detached bungalow for sale,Ibeju Lekki,2,2,2,,11000000
4 bedroom detached duplex for sale,Lekki,4,5,5,,75000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,,32500000
